E,R
1.32457264957265,0.260722
1.32598930481283,0.260236
1.32740899357602,0.260226
1.32883172561629,0.260256
1.33025751072961,0.260295
1.33168635875403,0.260303
1.33311827956989,0.261221
1.33455328310011,0.261158
1.33599137931034,0.260345
1.33743257820928,0.259922
1.33887688984881,0.259101
1.34032432432432,0.258646
1.34177489177489,0.257815
1.34322860238353,0.257104
1.34468546637744,0.256634
1.34614549402823,0.255
1.34760869565217,0.252894
1.34907508161045,0.25204
1.35054466230937,0.250715
1.35201744820065,0.250248
1.35349344978166,0.248589
1.35497267759563,0.246597
1.35645514223195,0.245085
1.3579408543264,0.242302
1.3594298245614,0.239155
1.3609220636663,0.237459
1.36241758241758,0.234381
1.36391639163916,0.232901
1.36541850220264,0.230157
1.36692392502756,0.226771
1.36843267108168,0.224392
1.36994475138122,0.221481
1.37146017699115,0.218826
1.37297895902547,0.216501
1.37450110864745,0.212981
1.37602663706992,0.21165
1.37755555555556,0.207104
1.37908787541713,0.204304
1.38062360801782,0.201278
1.38216276477146,0.19771
1.38370535714286,0.195271
1.38525139664804,0.19267
1.38680089485459,0.189165
1.38835386338186,0.186473
1.38991031390135,0.182148
1.39147025813692,0.178464
1.39303370786517,0.175613
1.39460067491564,0.172807
1.39617117117117,0.168464
1.39774520856821,0.164505
1.39932279909707,0.160695
1.40090395480226,0.158336
1.40248868778281,0.155243
1.40407701019253,0.1512
1.40566893424036,0.146781
1.40726447219069,0.144959
1.40886363636364,0.141992
1.41046643913538,0.13761
1.4120728929385,0.133276
1.41368301026226,0.131641
1.41529680365297,0.127365
1.41691428571429,0.122434
1.41853546910755,0.121206
1.42016036655212,0.118905
1.42178899082569,0.11422
1.42342135476464,0.112044
1.42505747126437,0.111128
1.42669735327963,0.111254
1.42834101382488,0.109068
1.42998846597463,0.105484
1.43163972286374,0.105499
1.43329479768786,0.10422
1.4349537037037,0.102012
1.43661645422943,0.101182
1.43828306264501,0.101092
1.43995354239257,0.100527
1.44162790697674,0.100359
1.44330616996508,0.102933
1.44498834498835,0.106771
1.44667444574096,0.105921
1.44836448598131,0.106587
1.45005847953216,0.10866
1.45175644028103,0.110205
1.45345838218054,0.110034
1.45516431924883,0.109319
1.45687426556992,0.110405
1.45858823529412,0.113306
1.4603062426384,0.116526
1.46202830188679,0.119167
1.46375442739079,0.12183
1.46548463356974,0.125439
1.46721893491124,0.127216
1.46895734597156,0.128677
1.47069988137604,0.129097
1.47244655581948,0.132511
1.47419738406659,0.133368
1.47595238095238,0.137575
1.4777115613826,0.142865
1.47947494033413,0.150531
1.48124253285544,0.151863
1.48301435406699,0.157686
1.48479041916168,0.160165
1.48657074340528,0.163374
1.48835534213685,0.16366
1.49014423076923,0.162434
1.49193742478941,0.166769
1.49373493975904,0.169596
1.49553679131484,0.175346
1.49734299516908,0.179696
1.49915356711004,0.184844
1.50096852300242,0.191813
1.50278787878788,0.196726
1.50461165048544,0.204251
1.50643985419198,0.207284
1.50827250608273,0.210758
1.51010962241169,0.211909
1.5119512195122,0.21616
1.51379731379731,0.215653
1.51564792176039,0.21866
1.51750305997552,0.224222
1.51936274509804,0.230045
1.52122699386503,0.237052
1.52309582309582,0.239111
1.5249692496925,0.238613
1.52684729064039,0.239314
1.52872996300863,0.241457
1.53061728395062,0.244384
1.53250927070457,0.243677
1.53440594059406,0.243579
1.5363073110285,0.243729
1.53821339950372,0.245105
1.54012422360248,0.244699
1.54203980099503,0.244989
1.5439601494396,0.247187
1.54588528678304,0.249492
1.5478152309613,0.250924
1.54975,0.255606
1.55168961201502,0.259712
1.55363408521303,0.265891
1.5555834378921,0.261183
1.55753768844221,0.25299
1.55949685534591,0.250767
1.56146095717884,0.249845
1.56343001261034,0.24657
1.56540404040404,0.246969
1.56738305941846,0.247498
1.56936708860759,0.248268
1.57135614702155,0.244915
1.57335025380711,0.242242
1.57534942820839,0.23906
1.57735368956743,0.237917
1.57936305732484,0.235055
1.58137755102041,0.232543
1.58339719029374,0.229273
1.58542199488491,0.226181
1.58745198463508,0.222954
1.58948717948718,0.219777
1.59152759948652,0.215867
1.59357326478149,0.212132
1.5956241956242,0.20821
1.59768041237113,0.20325
1.59974193548387,0.197701
1.60180878552972,0.192897
1.60388098318241,0.187722
1.6059585492228,0.182641
1.60804150453956,0.177136
1.61012987012987,0.171623
1.61222366710013,0.166566
1.61432291666667,0.161033
1.61642764015645,0.155439
1.61853785900783,0.150413
1.62065359477124,0.145354
1.62277486910995,0.139734
1.62490170380079,0.134514
1.62703412073491,0.129124
1.62917214191853,0.124506
1.63131578947368,0.119879
1.633465085639,0.115941
1.63562005277045,0.111843
1.63778071334214,0.108805
1.63994708994709,0.105006
1.64211920529801,0.102231
1.64429708222812,0.099208
1.6464807436919,0.096684
1.64867021276596,0.094093
1.6508655126498,0.091916
1.65306666666667,0.090426
1.65527369826435,0.089189
1.65748663101604,0.088683
1.65970548862115,0.088278
1.66193029490617,0.088631
1.6641610738255,0.08891
1.66639784946237,0.090491
1.66864064602961,0.091624
1.67088948787062,0.093546
1.67314439946019,0.096203
1.67540540540541,0.098953
1.67767253044655,0.101612
1.67994579945799,0.105957
1.68222523744912,0.110203
1.68451086956522,0.114635
1.68680272108844,0.119677
1.68910081743869,0.124401
1.69140518417462,0.129011
1.69371584699454,0.134447
1.69603283173735,0.139567
1.69835616438356,0.145048
1.70068587105624,0.150471
1.70302197802198,0.15628
1.70536451169188,0.161757
1.70771349862259,0.167417
1.71006896551724,0.173113
1.71243093922652,0.17902
1.71479944674965,0.184506
1.71717451523546,0.189718
1.71955617198336,0.195475
1.72194444444444,0.200817
1.72433936022253,0.206261
1.72674094707521,0.21107
1.72914923291492,0.215811
1.73156424581006,0.220547
1.73398601398601,0.224847
1.73641456582633,0.228814
1.73884992987377,0.232658
1.74129213483146,0.236579
1.74374120956399,0.239295
1.74619718309859,0.242371
1.74866008462623,0.244891
1.75112994350282,0.247771
1.75360678925035,0.250046
1.75609065155807,0.252077
1.75858156028369,0.253622
1.76107954545455,0.255611
1.76358463726885,0.255679
1.76609686609687,0.255652
1.76861626248217,0.255459
1.77114285714286,0.254862
1.77367668097282,0.253345
1.77621776504298,0.252885
1.77876614060258,0.251259
1.78132183908046,0.24998
1.78388489208633,0.247351
1.7864553314121,0.244862
1.78903318903319,0.241848
1.79161849710983,0.238702
1.79421128798842,0.234833
1.7968115942029,0.231284
1.79941944847605,0.226543
1.80203488372093,0.221917
1.80465793304221,0.21698
1.80728862973761,0.212118
1.80992700729927,0.206936
1.8125730994152,0.201507
1.81522693997072,0.195415
1.81788856304985,0.189791
1.82055800293686,0.183234
1.82323529411765,0.175922
1.8259204712813,0.169613
1.82861356932153,0.16298
1.83131462333826,0.156291
1.83402366863905,0.149425
1.83674074074074,0.143461
1.83946587537092,0.137084
1.84219910846954,0.131145
1.84494047619048,0.125108
1.84769001490313,0.119826
1.85044776119403,0.114674
1.85321375186846,0.110214
1.8559880239521,0.106532
1.85877061469265,0.103352
1.86156156156156,0.100747
1.86436090225564,0.098793
