Wavelength	R
1029.0	10.211698
1030.0	10.322634
1031.0	10.472672000000001
1032.0	10.641722
1033.0	10.793328
1034.0	10.936604
1035.0	11.119864
1036.0	11.349772
1037.0	11.568606
1038.0	11.756864
1039.0	11.949728
1040.0	12.177578
1041.0	12.37642
1042.0	12.597998
1043.0	12.866518
1044.0	13.084176
1045.0	13.34956
1046.0	13.587602
1047.0	13.884836
1048.0	14.165018
1049.0	14.42266
1050.0	14.704214
1051.0	14.976458
1052.0	15.253994
1053.0	15.55211
1054.0	15.837093999999999
1055.0	16.1504
1056.0	16.445968
1057.0	16.729776
1058.0	17.049059999999997
1059.0	17.319736000000002
1060.0	17.596194
1061.0	17.886176
1062.0	18.132744
1063.0	18.421844
1064.0	18.687228
1065.0	18.94438
1066.0	19.2031
1067.0	19.474266
1068.0	19.740727999999997
1069.0	19.999447999999997
1070.0	20.222594
1071.0	20.50552
1072.0	20.736604
1073.0	20.982094
1074.0	21.2023
1075.0	21.456806
1076.0	21.728266
1077.0	21.944356
1078.0	22.192786
1079.0	22.400056
1080.0	22.612422
1081.0	22.839586
1082.0	23.061947999999997
1083.0	23.262652
1084.0	23.464826
1085.0	23.689638000000002
1086.0	23.885736
1087.0	24.090654
1088.0	24.240496
1089.0	24.419836
1090.0	24.581339999999997
1091.0	24.786061999999998
1092.0	24.907288
1093.0	25.028416
1094.0	25.160618
1095.0	25.264302
1096.0	25.38249
1097.0	25.47412
1098.0	25.53341
1099.0	25.594268
1100.0	25.667866
