Wavelength,R
597.000000, 90.705001
596.000000, 90.713987
595.000000, 90.700057
594.000000, 90.744786
593.000000, 90.736602
592.000000, 90.771884
591.000000, 90.840599
590.000000, 90.771518
589.000000, 90.799377
588.000000, 90.805415
587.000000, 90.816253
586.000000, 90.815778
585.000000, 90.911932
584.000000, 90.917838
583.000000, 90.943405
582.000000, 90.983427
581.000000, 90.910778
580.000000, 90.952606
579.000000, 90.973757
578.000000, 90.982661
577.000000, 90.944491
576.000000, 90.951885
575.000000, 90.976699
574.000000, 91.002494
573.000000, 91.031296
572.000000, 91.056255
571.000000, 91.097929
570.000000, 91.088741
569.000000, 91.100001
568.000000, 91.099226
567.000000, 91.088229
566.000000, 91.130804
565.000000, 91.139052
564.000000, 91.107297
563.000000, 91.125379
562.000000, 91.183644
561.000000, 91.165238
560.000000, 91.165419
559.000000, 91.246880
558.000000, 91.221245
557.000000, 91.218031
556.000000, 91.199377
555.000000, 91.241801
554.000000, 91.223521
553.000000, 91.250299
552.000000, 91.252747
551.000000, 91.285885
550.000000, 91.298468
549.000000, 91.326976
548.000000, 91.313068
547.000000, 91.365112
546.000000, 91.317112
545.000000, 91.330539
544.000000, 91.398866
543.000000, 91.373467
542.000000, 91.363365
541.000000, 91.398740
540.000000, 91.418633
539.000000, 91.384830
538.000000, 91.410651
537.000000, 91.450564
536.000000, 91.469650
535.000000, 91.470095
534.000000, 91.440373
533.000000, 91.437114
532.000000, 91.464078
531.000000, 91.447421
530.000000, 91.486916
529.000000, 91.524954
528.000000, 91.488166
527.000000, 91.514090
526.000000, 91.520870
525.000000, 91.497056
524.000000, 91.525702
523.000000, 91.572253
522.000000, 91.566574
521.000000, 91.566216
520.000000, 91.585110
519.000000, 91.567509
518.000000, 91.548363
517.000000, 91.583579
516.000000, 91.571459
515.000000, 91.577835
514.000000, 91.620402
513.000000, 91.619547
512.000000, 91.624745
511.000000, 91.666937
510.000000, 91.643177
509.000000, 91.626998
508.000000, 91.649056
507.000000, 91.659019
506.000000, 91.671175
505.000000, 91.687479
504.000000, 91.671265
503.000000, 91.685472
502.000000, 91.666427
501.000000, 91.671475
500.000000, 91.699474
499.000000, 91.728189
498.000000, 91.701868
497.000000, 91.712791
496.000000, 91.682777
495.000000, 91.692867
494.000000, 91.711318
493.000000, 91.737398
492.000000, 91.725374
491.000000, 91.752248
490.000000, 91.742708
489.000000, 91.727802
488.000000, 91.746265
487.000000, 91.769143
486.000000, 91.780470
485.000000, 91.766722
484.000000, 91.773644
483.000000, 91.763302
482.000000, 91.753450
481.000000, 91.708548
480.000000, 91.688320
479.000000, 91.715835
478.000000, 91.751772
477.000000, 91.754890
476.000000, 91.769767
475.000000, 91.782739
474.000000, 91.756310
473.000000, 91.770174
472.000000, 91.780186
471.000000, 91.786581
470.000000, 91.781707
469.000000, 91.763138
468.000000, 91.761270
467.000000, 91.773090
466.000000, 91.771817
465.000000, 91.773701
464.000000, 91.819899
463.000000, 91.817963
462.000000, 91.771266
461.000000, 91.786387
460.000000, 91.791972
459.000000, 91.781331
458.000000, 91.778410
457.000000, 91.771440
456.000000, 91.747986
455.000000, 91.726173
454.000000, 91.747154
453.000000, 91.739740
452.000000, 91.740548
